DEPTH,ROW_ID,NU_MEAS,NU_PRED,G_MEAS_GPa,G_PRED_GPa,K_MEAS_GPa,K_PRED_GPa,E_MEAS_GPa,E_PRED_GPa,VPVS_MEAS,VPVS_PRED,NU_PRED_VALID,VPVS_PRED_VALID,G_PRED_VALID,K_PRED_VALID,E_PRED_VALID,ALL_GATES_VALID
2683.2296,55,0.0860166059500013,-1.34303495338886,6.91661020546868,12.0116727011383,6.04819230914613,-0.745224351746716,15.0231070800445,-8.24084717031453,1.48585931829607,1.12751569989956,0,0,1,0,0,0
2683.382,56,0.137312046868053,-0.876251208583757,7.15448280190775,12.4826149866164,7.47831058761393,0.374134341335755,16.27375895944,3.08941703661613,1.54226961160829,1.167606854353,0,0,1,1,1,0
2683.5344,57,0.111917630622701,-0.934401899516461,7.70871252163386,13.0808307621006,7.36222860450997,0.199404283887639,17.1429067244133,1.71615530148089,1.51274131279754,1.16128262751107,0,0,1,1,1,0
2683.6868,58,0.0454171459670984,-0.861648840989672,8.57908614519486,13.1767699456307,6.57652297657664,0.446277909328778,17.937447505831,3.64604278798094,1.44910644905285,1.16927407800301,0,0,1,1,1,0
2683.8392,59,0.00317674085738456,-0.728462494875875,9.10432344218259,12.9827251557466,6.12776297564501,0.956560690892955,18.2664910368804,7.05059359700731,1.41647241644652,1.18617571749603,0,0,1,1,1,0
2685.9728,73,0.0167130648993668,-0.582021398675799,9.84937506292992,13.7058945372525,6.9068618662946,1.76483590053112,20.0279766151498,11.4575412571556,1.42638777151129,1.20917247321267,0,0,1,1,1,0
2686.1252,74,0.0231109974140218,-0.47433112674965,10.0309536597078,13.5794343443936,7.17342257013448,2.44211499055346,20.5255580075951,14.276571902389,1.43124491453789,1.2301107923415,0,0,1,1,1,0
2686.2776,75,0.0258517827789226,-0.431576200884662,10.1136438318012,13.5214257734814,7.29385114782004,2.75014189224652,20.7501991104887,15.3718004152366,1.43336058868752,1.23964702484831,0,0,1,1,1,0
2686.43,76,0.0415631955284467,-0.364061898072482,10.1437299630221,13.433601525508,7.68214629352735,3.29565087687949,21.130671589726,17.0858781123644,1.44591246902554,1.25644826697927,0,0,1,1,1,0
2686.5824,77,0.0471290185918694,-0.324378752777082,10.2416751881209,13.4135950580699,7.89360600019609,3.66437950693073,21.4487105769475,18.1250196457527,1.4505403158614,1.2674846468292,0,0,1,1,1,0
2686.7348,78,0.0329028397794956,-0.33208778898939,10.4436666533883,13.5067911287382,7.69810784755699,3.6139418804238,21.5745858879903,18.042701452908,1.43890274316789,1.26526603302507,0,0,1,1,1,0
2687.8016,85,0.01357399107492,-0.469353979966436,9.9850068767308,13.3583266417741,6.93530847807204,2.43754879134768,20.2410865419171,14.1770857335315,1.4240454914941,1.23118132104991,0,0,1,1,1,0
2687.954,86,0.0346423096128659,-0.471090956904789,9.75081334379573,13.3525001761559,7.2264154699553,2.42416636014172,20.1772080772575,14.1245161821985,1.44029244514574,1.23080657605988,0,0,1,1,1,0
2688.1064,87,0.025781908544212,-0.493306564684341,9.86976713870753,13.4871227343761,7.11643633653192,2.29329554230711,20.2484571448607,13.6676731016099,1.4333063864038,1.22611959842679,0,0,1,1,1,0
2688.2588,88,0.00428468788968194,-0.567350632821845,9.87316583754621,13.5051754906124,6.66744872134496,1.82476918392342,19.8309385432863,11.6860112592868,1.41726618696174,1.21179603132865,0,0,1,1,1,0
2688.4112,89,0.0369360680055099,-0.54662407350393,9.46585600232906,13.322324587012,7.06561004156567,1.92365192865506,19.6309750067229,12.0800425054359,1.44213886668442,1.21561772240265,0,0,1,1,1,0
2688.5636,90,0.0827800281541302,-0.48931226436228,9.07135894287412,13.2473311308328,7.84740820540108,2.2794452881228,19.6445725831229,13.5304990768962,1.4827031376385,1.22694808312232,0,0,1,1,1,0
2688.716,91,0.137507129907027,-0.474833442828252,8.45222400325458,13.292739256115,8.84106131044495,2.38704097329769,19.2289301345468,13.9618042210313,1.54251012139792,1.23000330561482,0,0,1,1,1,0
2688.8684,92,0.106947824651402,-0.846736832588671,7.99615026038552,13.2490671722325,7.50648530607017,0.502596090274162,17.702642272639,4.06118800012365,1.5073472544334,1.1710114364925,0,0,1,1,1,0
2689.0208,93,0.0827322121914722,-1.76370422239247,7.42242642927235,13.3645796450247,6.41993816473098,-1.50293278960544,16.073000375189,-20.4131718108115,1.48265682649129,1.10493299015852,0,0,1,0,0,0
2689.1732,94,0.102406472827025,-2.66516321951317,6.8215624050037,13.2992470554006,6.30470906936896,-2.3322037978269,15.0402691001391,-44.2908340877437,1.50251979836564,1.07609002252318,0,0,1,0,0,0
2689.3256,95,0.0812152363011103,-3.74013654557024,6.78476864387468,13.3151770391105,5.8389542540042,-2.86825693964357,14.6715904650707,-72.970806431209,1.48119233499816,1.05731770569006,0,0,1,0,0,0
2689.478,96,0.0746000159921659,-3.85989700399301,6.75778654861894,13.1882038967658,5.6902662640782,-2.88362353345093,14.5238350664351,-75.4338096248187,1.47491166079134,1.05578483044559,0,0,1,0,0,0
2689.6304,97,0.0390028384109167,-3.7583991858527,7.03920683947031,13.1320666358673,5.28835930439735,-2.83545375746531,14.6275117727424,-72.4469638338794,1.44381625440243,1.05707852782764,0,0,1,0,0,0
2689.7828,98,0.0584962920897932,-2.07805947537114,7.30058515145198,13.0395101063398,5.83433553289612,-1.81756440695427,15.4552846257954,-28.1147348486748,1.46030589948907,1.092677593416,0,0,1,0,0,0
2689.9352,99,0.0601543621636461,-1.51982805836127,7.56998453840028,12.9656629200564,6.08194590673064,-1.11229193547757,16.0507042597928,-13.4798307621993,1.46176688937925,1.11693590840408,0,0,1,0,0,0
2690.0876,100,0.076576862042108,-1.00916726399309,7.93107366557285,12.9921023262045,6.72173186747008,-0.0263063467055038,17.0768207990144,-0.238204063699193,1.47677075402443,1.15382344321476,0,0,1,0,0,0
2690.24,101,0.0802955055935435,-0.770993161363588,8.19846690227134,12.8932874832955,7.03412922291618,0.774368448217341,17.7135338945623,5.90530201235984,1.48030888030271,1.18042075013226,0,0,1,1,1,0
2690.3924,102,0.0677462943498164,-0.729651144949791,8.45039923693814,12.9567482535408,6.9580143582924,0.949549002822147,18.0457649420344,7.00568411103711,1.46858029480556,1.18600986135968,0,0,1,1,1,0
2690.5448,103,0.0699404761442979,-0.698851503642497,8.59114462573912,13.1112222159089,7.12460551900411,1.09783539877776,18.3840267429757,7.8968497114601,1.47058823525167,1.19040574265985,0,0,1,1,1,0
2690.6972,104,0.0578444824538489,-0.766742890581872,8.61282155814547,13.1585525646007,6.86864342377963,0.807668748505965,18.2220515272875,6.13865187069053,1.45973416740265,1.18097971597501,0,0,1,1,1,0
2690.8496,105,0.101829035211004,-1.07896424938228,7.72723526500611,13.2385016805654,7.12766870666727,-0.220686514078416,17.0281843537803,-2.09073669630371,1.50191277735851,1.1474594899744,0,0,1,0,0,0
2691.002,106,0.0561342211234657,-1.89636156208308,7.58872353881467,13.3514021864629,6.01886952122729,-1.66470200897038,16.0294212479747,-23.9353674397146,1.45824094607246,1.09938603297403,0,0,1,0,0,0
2691.1544,107,0.0440884687135718,-2.52804352561439,7.41439698459549,13.3426206413137,5.65993316893268,-2.24436504002493,15.4825727881616,-40.7762101713766,1.44799999999398,1.07940869082773,0,0,1,0,0,0
2691.3068,108,0.0545339760627159,-2.39953770564097,7.22654212503943,13.081898582894,5.70236844922313,-2.104773494583,15.2412684006051,-36.6172206562627,1.45685279182441,1.08279327772522,0,0,1,0,0,0
2691.4592,109,0.125407556564671,-1.88563923742002,6.56395123869147,12.669946736229,6.57347334363294,-1.56785398641711,14.7742406498908,-22.4420039312523,1.52799999998394,1.09981245282661,0,0,1,0,0,0
2691.6116,110,0.14030954459337,-1.5760894182039,6.53006654313435,12.5781253774361,6.90065313478863,-1.16342531094698,14.8925944119319,-14.4922498615656,1.54598969831997,1.11392881763896,0,0,1,0,0,0
2691.764,111,0.138484042909724,-1.65904885383997,6.5228055230266,12.6213682295321,6.84719430066983,-1.28422264133752,14.8522200059384,-16.6361965311307,1.54371785444597,1.1097672991228,0,0,1,0,0,0
2691.9164,112,0.12730815883044,-2.01991817863347,6.5228055230266,12.7449085540053,6.57666832871603,-1.71946904592227,14.7064237691443,-25.9975278385025,1.53022578289639,1.09472331702734,0,0,1,0,0,0
2692.0688,113,0.0996571346264946,-3.13260052595228,6.5228055230266,12.8944991926473,5.97225549362153,-2.52333606587273,14.3456992623546,-54.9976315202618,1.49964311198788,1.06660322520478,0,0,1,0,0,0
2692.2212,114,0.0940845521538697,-2.85833061168005,6.61797029582065,12.8558533285158,5.94591731331467,-2.37126006361221,14.4812381345411,-47.7808515592995,1.49391553328384,1.07185983008398,0,0,1,0,0,0
2692.3736,115,0.0982706863773856,-2.89856019775132,6.63268779463055,12.9784534222938,6.04427436561498,-2.41674647126941,14.5689731534716,-49.2807501918729,1.49820531231152,1.07103740602096,0,0,1,0,0,0
2692.526,116,0.103759695434611,-2.8120961308623,6.73548496239239,13.2365188395249,6.25408095797567,-2.41396421153436,14.8687136613893,-47.971689150378,1.50394831299721,1.07282887820274,0,0,1,0,0,0
